iter	Logloss
0	0.6623561302
1	0.630904337
2	0.6072556142
3	0.5825539064
4	0.5604608086
5	0.5432120763
6	0.5264613119
7	0.5111307723
8	0.4998119654
9	0.48806917
10	0.4788704347
11	0.4717462947
12	0.4661603778
13	0.4604272735
14	0.4540260401
15	0.448180638
16	0.4428424192
17	0.438549599
18	0.4339101127
19	0.4294881071
20	0.4247783704
21	0.4221583163
22	0.4191868386
23	0.4169311523
24	0.4149802562
25	0.4114946944
26	0.4091841451
27	0.4065779782
28	0.404170047
29	0.4021406709
30	0.399372658
31	0.3980521727
32	0.3959670335
33	0.3944176663
34	0.3926767071
35	0.3909448345
36	0.3893606636
37	0.3882918197
38	0.3874351416
39	0.3864996406
40	0.3861896643
41	0.3851404083
42	0.3839553662
43	0.3837532301
44	0.3836447041
45	0.382559187
46	0.3817420702
47	0.3811652366
48	0.3800371149
49	0.3790929987
50	0.3784021528
51	0.3773375951
52	0.3764254109
53	0.3758223459
54	0.3751951068
55	0.3744925167
56	0.3737568373
57	0.373160373
58	0.3726456889
59	0.371836373
60	0.3713400337
61	0.3710309146
62	0.3705842522
63	0.3702498875
64	0.3701076722
65	0.3693487617
66	0.3689806649
67	0.36812763
68	0.3680247618
69	0.3674116242
70	0.3662929321
71	0.366144416
72	0.3652717076
73	0.3649892914
74	0.3644557053
75	0.3643305061
76	0.3641451718
77	0.3635759675
78	0.3630968158
79	0.3621481992
80	0.3619549355
81	0.3615024867
82	0.3610535097
83	0.3608770478
84	0.3605214665
85	0.360026756
86	0.3599586915
87	0.3595984813
88	0.3592036815
89	0.3589261944
90	0.3587516185
91	0.3584359415
92	0.3579509392
93	0.3577888574
94	0.3575437096
95	0.3571523602
96	0.3565309717
97	0.3555358501
98	0.3554134155
99	0.355118848
